Player,Team,Service,Season,Extension,Non-Tendered,Outrighted,Next Year Salary,first_name,last_name,Source
Luke Hochevar,Royals,2.151,2010,False,False,False,1760000.0,Luke,Hochevar,MLBTR
Manny Parra,Brewers,3.063,2010,False,False,False,1200000.0,Manny,Parra,MLBTR
Mark Lowe,Rangers,4.087,2010,False,False,False,1200000.0,Mark,Lowe,MLBTR
Martin Prado,Braves,3.105,2010,False,False,False,3100000.0,Martin,Prado,MLBTR
Matt Garza,Cubs,3.149,2010,False,False,False,5950000.0,Matt,Garza,MLBTR
Matt Lindstrom,Rockies,4.0,2010,True,False,False,,Matt,Lindstrom,MLBTR
Matt Belisle,Rockies,5.019,2010,False,False,False,2350000.0,Matt,Belisle,MLBTR
Matt Capps,Twins,5.017,2010,False,False,False,7150000.0,Matt,Capps,MLBTR
"Melvin Upton, Jr.",Rays,4.126,2010,False,False,False,4825000.0,Melvin,"Upton, Jr.",MLBTR
Michael Bourn,Astros,4.028,2010,False,False,False,4400000.0,Michael,Bourn,MLBTR
Miguel Montero,Diamondbacks,4.031,2010,False,False,False,3200000.0,Miguel,Montero,MLBTR
Mike Napoli,Rangers,4.151,2010,False,False,False,5800000.0,Mike,Napoli,MLBTR
Mike Fontenot,Giants,3.139,2010,False,False,False,1050000.0,Mike,Fontenot,MLBTR
Mike Pelfrey,Mets,3.122,2010,False,False,False,3925000.0,Mike,Pelfrey,MLBTR
Mike Morse,Nationals,3.114,2010,False,False,False,1500000.0,Mike,Morse,MLBTR
Mike Adams,Padres,4.019,2010,False,False,False,2535000.0,Mike,Adams,MLBTR
Nelson Figueroa,Astros,3.16,2010,False,False,False,900000.0,Nelson,Figueroa,MLBTR
Nelson Cruz,Rangers,3.082,2010,False,False,False,3650000.0,Nelson,Cruz,MLBTR
Pat Neshek,Twins,4.005,2010,False,False,False,625000.0,Pat,Neshek,MLBTR
Peter Moylan,Braves,4.061,2010,False,False,False,2000000.0,Peter,Moylan,MLBTR
Phil Hughes,Yankees,3.113,2010,False,False,False,2700000.0,Phil,Hughes,MLBTR
Prince Fielder,Brewers,5.068,2010,False,False,False,15500000.0,Prince,Fielder,MLBTR
R.A. Dickey,Mets,5.007,2010,True,False,False,,R.A.,Dickey,MLBTR
Rafael Perez,Indians,3.157,2010,False,False,False,1330000.0,Rafael,Perez,MLBTR
Rajai Davis,Blue Jays,3.167,2010,True,False,False,,Rajai,Davis,MLBTR
Ramon Ramirez,Giants,4.113,2010,False,False,False,1650000.0,Ramon,Ramirez,MLBTR
Reggie Willits,Angels,4.0,2010,False,False,False,775000.0,Reggie,Willits,MLBTR
Rickie Weeks,Brewers,5.131,2010,True,False,False,,Rickie,Weeks,MLBTR
Ricky Nolasco,Marlins,4.142,2010,True,False,False,,Ricky,Nolasco,MLBTR
Robinson Tejeda,Royals,4.102,2010,False,False,False,1550000.0,Robinson,Tejeda,MLBTR
Ronny Cedeno,Pirates,5.029,2010,False,False,False,1850000.0,Ronny,Cedeno,MLBTR
Ross Ohlendorf ,Pirates,2.139,2010,False,False,False,2025000.0,Ross,Ohlendorf ,MLBTR
Ryan Sweeney,Athletics,3.053,2010,False,False,False,1400000.0,Ryan,Sweeney,MLBTR
