Player,Season,MLS,Year Salary,Next Year Salary,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,playerid,first_name,last_name,Position
"Travis, Devon",2018,3.0,545200.0,1450000.0,,,,,,,,,,,,,,,,,,,,,,,Devon,Travis,2b
"Iglesias, Jose",2018,5.036,4100000.0,6275000.0,,,,,,,,,,,,,,,,,,,,,,,Jose,Iglesias,ss
"Profar, Jurickson",2018,3.165,1005000.0,1050000.0,,,,,,,,,,,,,,,,,,,,,,,Jurickson,Profar,lf
"Duffy, Matt",2018,3.059,545300.0,930000.0,,,,,,,,,,,,,,,,,,,,,,,Matt,Duffy,ss
"Rua, Ryan",2018,2.129,544740.0,870000.0,,,,,,,,,,,,,,,,,,,,,,,Ryan,Rua,of
"Holt, Brock",2018,4.052,1950000.0,2225000.0,,,,,,,,,,,,,,,,,,,,,,,Brock,Holt,3b-rf
"Romine, Austin",2018,4.045,805000.0,1100000.0,,,,,,,,,,,,,,,,,,,,,,,Austin,Romine,c
"Herrmann, Chris",2018,4.001,937500.0,1300000.0,,,,,,,,,,,,,,,,,,,,,,,Chris,Herrmann,c
"Franco, Maikel",2018,2.17,560000.0,2950000.0,,,,,,,,,,,,,,,,,,,,,,,Maikel,Franco,3b
"McCann, James",2018,3.028,552100.0,2375000.0,,,,,,,,,,,,,,,,,,,,,,,James,McCann,c
"Betts, Mookie",2019,4.07,10500000.0,20000000.0,,,,,,,,,,,,,,,,,,,,,,,Mookie,Betts,rf
"Lindor, Francisco",2019,3.113,623200.0,10550000.0,,,,,,,,,,,,,,,,,,,,,,,Francisco,Lindor,ss
"Baez, Javier",2019,3.089,657000.0,5200000.0,,,,,,,,,,,,,,,,,,,,,,,Javier,Baez,2b
"Arenado, Nolan",2019,5.155,17750000.0,26000000.0,,,,,,,,,,,,,,,,,,,,,,,Nolan,Arenado,3b
"Realmuto, J.T.",2019,4.038,2900000.0,5900000.0,,,,,,,,,,,,,,,,,,,,,,,J.T.,Realmuto,c
"Rendon, Anthony",2019,5.13,12300000.0,18800000.0,,,,,,,,,,,,,,,,,,,,,,,Anthony,Rendon,3b
"Semien, Marcus",2019,4.118,3125000.0,5900000.0,,,,,,,,,,,,,,,,,,,,,,,Marcus,Semien,ss
"Turner, Trea",2019,2.135,577200.0,3725000.0,,,,,,,,,,,,,,,,,,,,,,,Trea,Turner,ss
"Bogaerts, Xander",2019,5.042,7050000.0,12000000.0,,,,,,,,,,,,,,,,,,,,,,,Xander,Bogaerts,ss
"Story, Trevor",2019,3.0,555000.0,5000000.0,,,,,,,,,,,,,,,,,,,,,,,Trevor,Story,ss
"Castellanos, Nick",2019,5.029,6050000.0,9950000.0,,,,,,,,,,,,,,,,,,,,,,,Nick,Castellanos,3b
