Player,Team,Service,Extension,Year,Non-Tendered,Outrighted,Next Year Salary,first_name,last_name,Source
Carlos Gomez,Brewers,4.141,False,2012,False,False,1962000.0,Carlos,Gomez,MLBTR
Carlos Quentin,Padres,5.065,False,2012,False,False,7025000.0,Carlos,Quentin,MLBTR
Casey Janssen,Blue Jays,5.063,True,2012,False,False,,Casey,Janssen,MLBTR
Casey McGehee,Pirates,3.028,False,2012,False,False,2538000.0,Casey,McGehee,MLBTR
Charlie Morton,Pirates,3.01,False,2012,False,False,2445000.0,Charlie,Morton,MLBTR
Chase Headley,Padres,3.123,False,2012,False,False,3450000.0,Chase,Headley,MLBTR
Chris Denorfia,Padres,4.041,False,2012,False,False,1165000.0,Chris,Denorfia,MLBTR
Chris Perez,Indians,3.136,False,2012,False,False,4500000.0,Chris,Perez,MLBTR
Chris Volstad,Cubs,3.076,False,2012,False,False,2655000.0,Chris,Volstad,MLBTR
Chris Resop,Pirates,3.038,False,2012,False,False,850000.0,Chris,Resop,MLBTR
Chris Getz,Royals,3.05,False,2012,False,False,968000.0,Chris,Getz,MLBTR
Clayton Kershaw,Dodgers,3.105,True,2012,False,False,,Clayton,Kershaw,MLBTR
Clayton Richard,Padres,3.07,False,2012,False,False,2705000.0,Clayton,Richard,MLBTR
Colby Rasmus,Blue Jays,3.0,False,2012,False,False,2700000.0,Colby,Rasmus,MLBTR
Cole Hamels,Phillies,5.143,False,2012,False,False,15000000.0,Cole,Hamels,MLBTR
Craig Breslow,Diamondbacks,4.088,False,2012,False,False,1795000.0,Craig,Breslow,MLBTR
Dallas Braden,Athletics,4.039,False,2012,False,False,3350000.0,Dallas,Braden,MLBTR
Dana Eveland,Orioles,3.008,False,2012,False,False,750000.0,Dana,Eveland,MLBTR
Daniel Bard,Red Sox,2.148,False,2012,False,False,1613000.0,Daniel,Bard,MLBTR
Daric Barton,Athletics,3.057,False,2012,False,False,1100000.0,Daric,Barton,MLBTR
Darren O'Day,Orioles,3.103,False,2012,False,False,1350000.0,Darren,O'Day,MLBTR
David Murphy,Rangers,4.087,False,2012,False,False,3625000.0,David,Murphy,MLBTR
David Price,Rays,2.164,False,2012,False,False,4350000.0,David,Price,MLBTR
David Robertson,Yankees,3.07,False,2012,False,False,1600000.0,David,Robertson,MLBTR
David Ortiz,Red Sox,13.048,False,2012,False,False,14575000.0,David,Ortiz,MLBTR
Delmon Young,Tigers,5.034,False,2012,False,False,6750000.0,Delmon,Young,MLBTR
