Player,Season,MLS,Year Salary,Next Year Salary,G,R,H,HR,RBI,SB,AVG,OBP,SLG,playerid,Position_1b,Position_2b,Position_3b,Position_c,Position_cf,Position_dh,Position_inf,Position_lf,Position_of,Position_rf,Position_ss
"Dietrich, Derek",2018,3.151,1700000.0,2900000.0,135.0,56.0,101.0,13.0,53.0,0.0,0.248768472,0.334051724,0.42364532,10542.0,False,True,False,False,False,False,False,False,False,False,False
"Flores, Wilmer",2018,4.003,2200000.0,3400000.0,110.0,42.0,91.0,18.0,52.0,1.0,0.270833333,0.306629834,0.488095238,5827.0,False,True,False,False,False,False,False,False,False,False,False
"Perez, Hernan",2018,3.079,545700.0,1975000.0,136.0,47.0,112.0,14.0,51.0,13.0,0.259259259,0.289473684,0.414351851,5751.0,False,False,True,False,False,False,False,False,False,False,False
"Machado, Manny",2018,5.056,11500000.0,16000000.0,156.0,81.0,163.0,33.0,95.0,9.0,0.258730158,0.310144927,0.471428571,11493.0,False,False,True,False,False,False,False,False,False,False,False
"Grichuk, Randal",2018,3.033,557200.0,2800000.0,122.0,53.0,98.0,22.0,59.0,6.0,0.237864077,0.285067873,0.47330097,10243.0,False,False,False,False,False,False,False,False,False,True,False
"Adams, Matt",2018,5.033,2800000.0,,131.0,46.0,93.0,20.0,65.0,0.0,0.274336283,0.318801089,0.522123893,9393.0,True,False,False,False,False,False,False,False,False,False,False
"Bradley Jr., Jackie",2018,3.15,3600000.0,6100000.0,133.0,58.0,118.0,17.0,63.0,8.0,0.244813278,0.323475046,0.402489626,12984.0,False,False,False,False,False,False,False,False,False,True,False
"Chisenhall, Lonnie",2018,5.158,4300000.0,5587500.0,82.0,34.0,68.0,12.0,53.0,2.0,0.288135593,0.359550561,0.52118644,7571.0,False,False,False,False,False,False,False,False,False,True,False
"Adrianza, Ehire",2018,3.131,600000.0,1000000.0,70.0,30.0,43.0,2.0,24.0,8.0,0.265432098,0.324324324,0.382716049,8418.0,False,True,False,False,False,False,False,False,False,False,False
"Garcia, Leury",2018,3.025,546500.0,1175000.0,87.0,41.0,81.0,9.0,33.0,8.0,0.27,0.315789473,0.423333333,5913.0,False,False,False,False,True,False,False,False,False,False,False
"Hamilton, Billy",2018,4.028,2625000.0,4600000.0,139.0,85.0,144.0,4.0,38.0,59.0,0.24742268,0.299363057,0.335051546,10199.0,False,False,False,False,True,False,False,False,False,False,False
"Castellanos, Nicholas",2018,4.029,3000000.0,6050000.0,,,,,,,,,,,False,False,True,False,False,False,False,False,False,False,False
"Marisnick, Jake",2018,3.145,1100000.0,1900000.0,106.0,50.0,56.0,16.0,35.0,9.0,0.24347826,0.319066147,0.495652173,11339.0,False,False,False,False,True,False,False,False,False,False,False
"Escobar, Eduardo",2018,5.128,2600000.0,4850000.0,129.0,62.0,116.0,21.0,73.0,5.0,0.253829321,0.309236947,0.44857768,6153.0,False,False,False,False,False,False,False,False,False,False,True
"La Stella, Tommy",2018,3.057,573500.0,950000.0,73.0,18.0,36.0,5.0,22.0,0.0,0.288,0.389261744,0.472,12371.0,False,True,False,False,False,False,False,False,False,False,False
"Szczur, Matt",2018,2.134,549500.0,950000.0,119.0,28.0,44.0,3.0,18.0,0.0,0.225641025,0.35042735,0.353846153,11255.0,False,False,False,False,False,False,False,False,True,False,False
"Carrera, Ezequiel",2018,4.039,1162500.0,1900000.0,131.0,38.0,81.0,8.0,20.0,10.0,0.282229965,0.35625,0.407665505,9048.0,False,False,False,False,False,False,False,False,True,False,False
"Gattis, Evan",2018,5.0,5200000.0,6700000.0,84.0,41.0,79.0,12.0,55.0,0.0,0.263333333,0.31076923,0.456666666,11003.0,False,False,False,False,False,True,False,False,False,False,False
"Villar, Jonathan",2018,3.113,554500.0,2550000.0,122.0,49.0,97.0,11.0,40.0,23.0,0.240694789,0.292626728,0.372208436,10071.0,False,True,False,False,False,False,False,False,False,False,False
"Hechavarria, Adeiny",2018,5.06,4350000.0,5900000.0,97.0,37.0,86.0,8.0,30.0,4.0,0.26060606,0.289017341,0.406060606,10459.0,False,False,False,False,False,False,False,False,False,False,True
"Sucre, Jesus",2018,3.137,630000.0,925000.0,63.0,20.0,45.0,7.0,29.0,2.0,0.255681818,0.289473684,0.409090909,5942.0,False,False,False,True,False,False,False,False,False,False,False
