Player,Position,Salary,Year
"Yoshii, Masato",p,"$3,000,000 ",2000.0
"Mulholland, Terry",lhp,"$2,975,000 ",2000.0
"Flaherty, John",c,"$2,947,410 ",2000.0
"Abreu, Bobby",rf,"$2,933,333 ",2000.0
"Benes, Andy",sp,"$2,867,542 ",2000.0
"Mantei, Matt",rp,"$2,831,000 ",2000.0
"Rhodes, Arthur",lhp,"$2,750,000 ",2000.0
"Rolen, Scott",3b,"$2,750,000 ",2000.0
"Schmidt, Jason",rhp-s,"$2,750,000 ",2000.0
"Alomar Jr., Sandy",c,"$2,700,000 ",2000.0
"Loaiza, Esteban",rhp,"$2,650,000 ",2000.0
"Gomez, Chris",inf,"$2,600,000 ",2000.0
"Conine, Jeff",of-1b,"$2,500,000 ",2000.0
"Erstad, Darin",1b-of,"$2,500,000 ",2000.0
"Fletcher, Darrin",c,"$2,500,000 ",2000.0
"Gutierrez, Ricky",ss,"$2,500,000 ",2000.0
"Loretta, Mark",2b-3b,"$2,500,000 ",2000.0
"Womack, Tony",of,"$2,500,000 ",2000.0
"Estes, Shawn",lhp,"$2,450,000 ",2000.0
"Cedeno, Roger",of,"$2,400,000 ",2000.0
"Stanton, Mike",lhp,"$2,400,000 ",2000.0
"Wickman, Bob",rhp,"$2,400,000 ",2000.0
"Williams, Gerald",of,"$2,373,439 ",2000.0
"Percival, Troy",rhp,"$2,350,000 ",2000.0
"Dye, Jermaine",rf,"$2,300,000 ",2000.0
"Sanchez, Rey",ss,"$2,300,000 ",2000.0
"Vina, Fernando",2b,"$2,300,000 ",2000.0
"Anderson, Brian",lhp,"$2,250,000 ",2000.0
"Kendall, Jason",c,"$2,250,000 ",2000.0
"Ordonez, Rey",ss,"$2,250,000 ",2000.0
"Renteria, Edgar",ss,"$2,250,000 ",2000.0
"Rosado, Jose",lhp,"$2,250,000 ",2000.0
"Sweeney, Mike",dh-1b,"$2,250,000 ",2000.0
"Cameron, Mike",cf,"$2,225,000 ",2000.0
"Perez, Neifi",ss,"$2,212,500 ",2000.0
"Cordero, Wilfredo",of,"$2,166,667 ",2000.0
"Glanville, Doug",of,"$2,016,667 ",2000.0
"Baines, Harold",dh-of,"$2,000,000 ",2000.0
"Cormier, Rheal",p,"$2,000,000 ",2000.0
"Fassero, Jeff",p,"$2,000,000 ",2000.0
"Girardi, Joe",mgr,"$2,000,000 ",2000.0
"Henderson, Rickey",of,"$2,000,000 ",2000.0
"Lawton, Matt",of,"$2,000,000 ",2000.0
"Martinez, Dave",of,"$2,000,000 ",2000.0
"McLemore, Mark",inf-of,"$2,000,000 ",2000.0
"Cruz, Deivi",ss,"$1,975,000 ",2000.0
"Hernandez, Orlando",rhp,"$1,950,000 ",2000.0
"Reese, Pokey",2b,"$1,950,000 ",2000.0
"Young, Dmitri",1b-dh,"$1,950,000 ",2000.0
"Holmes, Darren",rp,"$1,916,667 ",2000.0
"Nelson, Jeff",rp,"$1,916,667 ",2000.0
"Byrd, Paul",rhp,"$1,885,000 ",2000.0
"Mabry, John",3b-of,"$1,850,000 ",2000.0
"Giles, Brian",rf,"$1,816,667 ",2000.0
"Moehler, Brian",rhp-s,"$1,816,667 ",2000.0
"Quantrill, Paul",rp,"$1,800,000 ",2000.0
"Drew, J.D.",rf,"$1,750,000 ",2000.0
"Groom, Buddy",rhp,"$1,750,000 ",2000.0
"Mayne, Brent",c,"$1,750,000 ",2000.0
"Tucker, Michael",of,"$1,700,000 ",2000.0
"Seanez, Rudy",rhp,"$1,650,000 ",2000.0
"Shuey, Paul",rp,"$1,617,667 ",2000.0
"Guthrie, Mark",rp,"$1,600,000 ",2000.0
"Reed, Steve",p,"$1,600,000 ",2000.0
"Villone, Ron",lhp,"$1,600,000 ",2000.0
"Aurilia, Rich",1b-3b,"$1,550,000 ",2000.0
"Bottalico, Ricky",rp,"$1,500,000 ",2000.0
"Miceli, Dan",rp,"$1,500,000 ",2000.0
"Plesac, Dan",rp,"$1,500,000 ",2000.0
"Bush, Homer",inf,"$1,450,000 ",2000.0
"Embree, Alan",lhp,"$1,450,000 ",2000.0
"Hollandsworth, Todd",of,"$1,450,000 ",2000.0
"Leskanic, Curtis",rhp,"$1,450,000 ",2000.0
"Suppan, Jeff",rhp-s,"$1,450,000 ",2000.0
"Bell, David",3b,"$1,425,000 ",2000.0
"Adams, Terry",p,"$1,400,000 ",2000.0
"Batista, Tony",3b,"$1,400,000 ",2000.0
"Mendoza, Ramiro",p,"$1,400,000 ",2000.0
"Person, Robert",p,"$1,400,000 ",2000.0
"Remlinger, Mike",rp,"$1,400,000 ",2000.0
"Taubensee, Eddie",c,"$1,400,000 ",2000.0
"Veres, Dave",rp,"$1,366,667 ",2000.0
"Widger, Chris",c,"$1,350,000 ",2000.0
"Hernandez, Livan",rhp,"$1,325,000 ",2000.0
"Mueller, Bill",3b,"$1,325,000 ",2000.0
"Valentin, Jose",of-ss,"$1,320,000 ",2000.0
"Brocail, Doug",rhp,"$1,300,000 ",2000.0
"Helton, Todd",1b,"$1,300,000 ",2000.0
"Posada, Jorge",c,"$1,250,000 ",2000.0
"Powell, Jay",rp,"$1,250,000 ",2000.0
"Bergman, Sean",p,"$1,200,000 ",2000.0
"Karsay, Steve",sp,"$1,200,000 ",2000.0
"Myers, Greg",c,"$1,200,000 ",2000.0
"Tavarez, Julian",rhp,"$1,200,000 ",2000.0
"Benard, Marvin",of,"$1,125,000 ",2000.0
"Colon, Bartolo",rhp-s,"$1,125,000 ",2000.0
"Hawkins, LaTroy",rhp-c,"$1,115,000 ",2000.0
"Orosco, Jesse",lhp,"$1,100,000 ",2000.0
"Sullivan, Scott",rp,"$1,100,000 ",2000.0
"Wright, Jaret",rhp,"$1,062,500 ",2000.0
"Wright, Jamey",rhp,"$1,025,000 ",2000.0
"Colbrunn, Greg",1b-of,"$1,005,000 ",2000.0
"Beltre, Adrian",3b,"$1,000,000 ",2000.0
"Chrstiansen, Jason",rp,"$1,000,000 ",2000.0
"Nomo, Hideo",rhp,"$1,000,000 ",2000.0
"Randa, Joe",3b,"$1,000,000 ",2000.0
"Rincon, Ricardo",lhp,"$1,000,000 ",2000.0
"Stinnett, Kelly",c,"$1,000,000 ",2000.0
"Trachsel, Steve",rhp,"$1,000,000 ",2000.0
"Williams, Mike",rp,"$1,000,000 ",2000.0
"Erickson, Matt",inf,"$975,000 ",2000.0
"Nitkowski, C.J.",p,"$950,000 ",2000.0
"Myers, Mike",lhp,"$933,333 ",2000.0
"Hasegawa, Shigetoshi",rp,"$900,000 ",2000.0
"Haynes, Jimmy",p,"$900,000 ",2000.0
